Sample,X,Y,Z
784,0.012,-0.949,0.008
785,-0.004,-0.938,0.000
786,-0.004,-0.934,-0.008
787,0.008,-0.953,0.004
788,0.004,-0.941,0.012
789,-0.004,-0.941,0.016
790,0.000,-0.926,0.035
791,0.004,-0.938,0.023
792,-0.008,-0.949,0.023
793,-0.008,-0.934,-0.016
794,-0.027,-0.938,0.008
795,0.008,-0.941,0.004
796,0.008,-0.949,0.004
797,0.004,-0.938,0.023
798,0.004,-0.926,0.016
799,0.016,-0.941,0.016
800,0.016,-0.953,0.020
801,0.004,-0.957,-0.008
802,0.000,-0.934,-0.004
803,0.004,-0.938,0.016
804,0.008,-0.957,0.004
805,0.000,-0.926,0.012
806,-0.004,-0.934,-0.004
807,0.004,-0.934,0.020
808,0.000,-0.945,0.004
809,0.012,-0.949,0.008
810,0.008,-0.957,0.000
811,-0.004,-0.953,0.000
812,0.000,-0.930,-0.004
813,0.004,-0.934,0.008
814,0.008,-0.938,0.012
815,0.000,-0.945,0.000
816,0.016,-0.949,-0.012
817,-0.008,-0.930,0.016
818,0.012,-0.953,-0.043
819,0.023,-0.945,0.031
820,0.000,-0.941,0.004
821,0.000,-0.938,0.004
822,0.008,-0.945,0.008
823,0.004,-0.949,0.012
824,0.000,-0.934,0.016
825,0.004,-0.930,0.016
826,0.008,-0.949,0.020
827,0.008,-0.969,0.000
828,-0.008,-0.941,-0.004
829,-0.008,-0.934,0.004
830,0.008,-0.930,0.023
831,0.004,-0.949,0.008
832,-0.004,-0.945,0.004
833,0.000,-0.930,0.012
834,0.008,-0.938,0.008
835,0.012,-0.961,0.012
836,-0.004,-0.945,-0.008
837,-0.012,-0.926,0.000
838,0.000,-0.941,0.020
839,-0.004,-0.941,0.012
840,-0.016,-0.961,-0.008
841,0.000,-0.941,-0.039
842,-0.012,-0.945,-0.008
843,0.012,-0.961,0.008
844,0.016,-0.941,0.008
845,-0.012,-0.941,-0.020
846,0.000,-0.941,0.000
847,0.016,-0.941,0.020
848,-0.004,-0.953,-0.016
849,-0.020,-0.918,0.004
850,-0.004,-0.941,0.012
851,0.004,-0.949,0.035
852,0.004,-0.945,0.020
853,-0.004,-0.945,-0.004
854,-0.008,-0.938,0.016
855,0.000,-0.949,0.008
856,-0.012,-0.930,0.016
857,-0.008,-0.922,0.020
858,-0.008,-0.938,0.023
859,-0.004,-0.941,0.027
860,0.004,-0.941,0.020
861,-0.004,-0.938,0.031
862,-0.004,-0.934,0.008
863,-0.008,-0.949,-0.004
864,-0.016,-0.953,-0.004
865,0.004,-0.938,0.020
866,-0.043,-0.934,0.023
867,0.023,-0.949,-0.008
868,-0.008,-0.945,0.035
869,0.000,-0.945,-0.008
870,0.000,-0.949,0.020
871,-0.008,-0.949,0.000
872,-0.008,-0.941,0.016
873,-0.008,-0.938,0.016
874,-0.008,-0.930,0.023
875,-0.012,-0.941,0.016
876,-0.016,-0.938,0.023
877,0.000,-0.941,0.027
878,0.004,-0.945,0.027
879,-0.008,-0.941,0.027
880,-0.016,-0.945,0.012
